nombre,ps4,ps5,secundario
F1 25 Standard Edition,31.85,11.11,9.26
F1 Manager 2023 Deluxe Edition,,14.81,11.11
Fallout 4,,31.85,14.81
Fallout 76,,,
Far Cry 4,,6.67,
Far Cry 4 + Far Cry Primal Bundle,,6.67,5.56
Far Cry 4 - Gold Edition,5.93,5.19,4.44
Far Cry 5,,5.93,4.44
Far Cry New Dawn,,,
Far Cry Primal - Apex Edition,9.26,5.93,5.19
Far Cry 5 + Far Cry New Dawn Ultimate Edition,,0.74,5.19
Far Cry 5 Gold Edition,,5.93,5.19
Far Cry 6 Deluxe Edition,,7.41,5.93
Far Cry 6 Game of the Year Edition,,7.04,5.56
Far Cry Primal,8.89,7.41,5.19
Farming Simulator 22,8.89,8.89,5.93
Farming Simulator 25,,5.19,4.44
FC 24 Standard Edition,13.33,13.33,7.41
FINAL FANTASY VII REBIRTH,,26.67,
FINAL FANTASY XV ROYAL EDITION,11.11,10.37,5.93
FINAL FANTASY IX,,25.19,
Five Nights at Freddy's,,,
Five Nights at Freddy's 2,,,
Five Nights at Freddy's 3,5.56,5.56,3.7
Five Nights at Freddy's: Security Breach,5.56,5.56,3.7
For Honor,5.56,5.56,3.7
Gang Beasts,18.52,11.11,10.37
Ghost of Tsushima Director's Cut,,,4.44
Goat Simulator 3,9.26,6.67,5.56
God of War III Remastered,9.26,9.26,5.93
God of War Ragnarök,9.63,9.63,5.56
God of War Ragnarök Digital Deluxe Edition,9.26,6.67,5.56
God of War,16.67,16.67,8.15
God of War Digital Deluxe Edition,,,
Gotham Knights,9.26,6.67,5.56
Grand Theft Auto V,,9.26,
Grand Theft Auto V New Gen,,12.96,
"Grand Theft Auto: The Trilogy - The Definitive Edition",10.37,5.93,4.81
GRID Legends,,13.5,5.93
Grounded,13.33,11.85,7.41
Hell Let Loose,,,
Helldivers 2,,,5.93
Hi-Fi RUSH,,,7.41
Hitman HD Enhanced Collection,,18.52,7.41
Hitman World of Assassination,,,5.19
Hitman World of Assassination Part One,10.37,,6.67
Hogwarts Legacy,16.3,16.3,8.89
Hogwarts Legacy + Harry Potter: Quidditch Champions Deluxe Editions Bundle,,9.26,5
Hogwarts Legacy: Digital Deluxe Edition,,,7.41
Hollow Knight Voidheart Edition,16.3,14.81,
Horizon Forbidden West,,16.3,10
Horizon Zero Dawn: Complete Edition,9.26,9.26,5.93
HOT WHEELS UNLEASHED,14.81,17.04,8.89
Human: Fall Flat,,,
Hunting Simulator 2,,,
Indiana Jones and the Great Circle,9.26,9.26,5.56
inFAMOUS Second Son,,5.93,5
Injustice 2,,31.85,14.81
Injustice 2 - Legendary Edition,9.26,6.67,5.19
Inside,6.67,4.81,5.19
Insurgency: Sandstorm,9.63,5.19,5.56
Jujutsu Kaisen Cursed Clash,9.26,5.19,5.56
Jurassic World Evolution 2,9.26,9.26,5.93
Jurassic World Evolution 2: Deluxe Edition,16.67,16.67,
Jurassic World Evolution,8.89,7.41,5.19
Just Cause 3: XXL Edition,10.37,10.37,5.93
Just Cause 4: Reloaded,8.89,6.67,5.56
Just Dance 2025 Edition,3.7,3.7,2.59
Kena: Bridge of Spirits,5.93,5.93,
Killzone Shadow Fall,,16.67,
Kingdom Come: Deliverance II,,5.19,5.19
Kingdom Come: Deliverance Royal Edition,5.56,5.56,3.7
L.A. Noire,,31.85,14.81
LEGO Batman 3: Beyond Gotham Deluxe Edition,5.93,5.93,3.7
LEGO CITY Undercover,3.78,3.78,2.59
LEGO DC Heroes & Villains Bundle,5.56,5.56,3.7
LEGO DC Super-Villains,5.56,5.56,3.7
LEGO DC Super-Villains Deluxe Edition,5.56,5.56,3.7
LEGO Marvel Super Heroes 2,5.56,5.56,3.7
LEGO Marvel Super Heroes 2 Deluxe Edition,5.93,5.93,3.7
LEGO Marvel's Avengers,5.56,5.56,3.7
LEGO Marvel Super Heroes,6.67,6.67,3.7
LEGO Star Wars: The Force Awakens,5.56,5.56,3.7
LEGO Star Wars: The Skywalker Saga Deluxe Edition,5.56,5.56,3.7
LEGO The Incredibles,5.56,5.56,3.7
LEGO Worlds,7.41,7.41,5.56
LEGO Marvel's Avengers Deluxe Edition,5.56,5.56,3.7
Lies of P,5.56,5.56,3.7
Life is Strange Remastered Collection,0.74,7.04,5.56
Little Nightmares I & II,27.04,9.63,9.63
Little Nightmares II,,5.56,5.56
Mad Max,9.26,5.93,5.56
Madden NFL 25,7.41,5.93,5.56
MADiSON,9.26,4.44,3.33
Mafia III: Definitive Edition,12.59,12.59,7.41
Mafia: Definitive Edition,,13.33,
Mafia: Trilogy,5.93,5.93,4.44
MARVEL vs. CAPCOM Fighting Collection: Arcade Classics,5.93,5.93,4.44
Marvel vs. Capcom: Infinite - Standard Edition,6.67,6.67,5.19
Marvel's Guardians of the Galaxy,5.93,,4.44
Marvel's Spider-Man: Game of the Year Edition,5.56,5.56,3.7
Marvel's Spider-Man: Miles Morales,6.67,6.67,5.19
Marvel's Spider-Man 2,14.81,11.11,7.41
Marvel's Spider-Man 2 Digital Deluxe Edition,18.52,18.52,8.89
Marvel's Spider-Man: Miles Morales (Inglés),,31.85,10.74
Marvel's Spider-Man: Game of the Year Edition (Inglés),,,12.96
Mass Effect Legendary Edition,6.67,6.67,
Mass Effect: Andromeda - Deluxe Recruit Edition,6.3,6.3,
Max Payne,7.04,7.04,5.19
Metal Gear Solid V: The Phantom Pain,8.89,8.89,5.93
Metal Gear Solid V: The Definitive Experience,5.93,5.93,4.44
Metal Gear Solid V: The Ground Zeroes,5.56,5.56,3.7
Metal Gear Solid 3: Snake Eater - Master Collection Version,5.56,5.56,3.7
Metal Gear Solid: Master Collection Vol. 1,6.67,6.67,
Metal Slug XX,6.67,6.67,4.44
Metro Exodus,,5.93,4.44
Metro Redux,5.56,5.56,3.7
Metro Saga Bundle,5.19,5.19,3.7
Middle-earth: Shadow of Mordor - Game of the Year Edition,5.19,5.19,3.7
Middle-earth: Shadow of War,7.41,7.41,5.19
Middle-earth: Shadow of War Definitive Edition,,5.93,5.19
Middle-earth: The Shadow Bundle,,5.93,5.19
Minecraft,,,5.93
Minecraft Dungeons,,6.67,5.19
Minecraft Legends,9.26,5.93,5.56
MLB The Show 23,11.11,9.63,
MLB The Show 24,11.11,11.11,
MLB The Show 24 MVP Edition,,,7.78
MLB The Show 25,9.63,,5.93
Monster Energy Supercross - The Official Videogame 4,,,
Monster Hunter Wild,,31.85,12.59
Monster Hunter Stories 2,5.93,,
Monster Hunter Rise,,31.85,14.81
Monster Hunter World: Iceborne Master Edition,7.41,7.41,
MONSTER HUNTER: WORLD,9.63,9.63,
Mortal Kombat 11,,7.41,5.56
Mortal Kombat 11 (Subtitulado),8.89,8.89,5.19
Mortal Kombat 11 Ultimate (Latino),6.67,5.19,4.44
Mortal Kombat 11 Ultimate (Subtitulado),,4.44,2.96
Mortal Kombat 11 Ultimate + Injustice 2 Leg. Edition Bundle,8.15,5.93,5.19
MORTAL KOMBAT X,,5.19,3.7
Mortal Kombat XL,,7.41,5.93
Mortal Kombat 1 Definitive Edition,3.56,3.56,2.22
Mortal Kombat 1: Khaos Reigns Kollection,5.56,5.56,3.7
Mortal Kombat 1,,,8.89
MotoGP 22,,,10.37
MotoGP 24,,23.7,5.93
MudRunner - American Wilds Edition,5.93,5.93,3.7
MXGP3 - The Official Motocross Videogame,9.63,9.63,5.93
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 Road to Boruto,5.93,5.93,3.7
NARUTO SHIPPUDEN: Ultimate Ninja STORM Legacy,9.63,9.63,
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,9.26,7.41,5.93
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,,,8.89
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS,,5.93,5.19
NBA 2K24 Baller Edition,9.26,7.41,5.19
NBA 2K24 Kobe Bryant Edition,,,8.89
NBA 2K4,,,5.93
NBA 2K25 Standard Edition,,,6.3
Need for Speed Deluxe Edition,14.81,11.11,7.41
Need for Speed Heat,7.41,sin tock,5.93
Need for Speed Heat Deluxe Edition,,5.19,3.7
Need for Speed Hot Pursuit Remastered,,7.41,4.44
Need for Speed Payback,,8.15,5.19
Need for Speed Payback - Deluxe Edition,5.78,4.44,3.7
Need for Speed Rivals: Complete Edition,5.19,5.19,3.7
Need for Speed Unbound,,5.56,4.44
NINJA GAIDEN 2 Black,6.67,5.19,
No Man's Sky,,,5.19
Outlast,,,11.85
Outlast 2,9.63,7.41,6.3
Outlast: Trinity,,5.19,
Overcooked! + Overcooked! 2,,5.56,
Overcooked! 2,,6.67,
Overcooked! All You Can Eat,,5.19,5.19
Palworld,,5.19,5.19
PAW Patrol Mighty Pups Save Adventure Bay,,5.19,5.19
PAYDAY 2: Crimewave Edition,,,5.93
PAYDAY 3,,7.41,5.93
Persona 3 Reload,4.44,4.44,2.96
Persona 5,,,5.93
Phasmophobia,16.3,16.3,8.15
Plants vs. Zombies: Battle for Neighborville,,7.41,5.56
Plants vs. Zombies: Battle for Neighborville Deluxe Edition,,,5.93
Plants vs. Zombies Garden Warfare,5.19,5.19,3.7
Plants vs. Zombies Garden Warfare 2: Deluxe Edition,5.56,5.56,4.44
Plants vs. Zombies Garden Warfare 2: Standard Edition,5.19,3.7,3.7
Police Simulator: Patrol Officers,5.93,5.93,4.44
Poppy Playtime: Chapter 1,5.19,5.19,3.7
Poppy Playtime: Chapter 2,9.26,9.26,3.7
Poppy Playtime: Chapter 3,4.07,4.07,2.22
Poppy Playtime: Chapter 4,5.93,5.93,3.7
Prince of Persia The Lost Crown,8.89,8.89,5.93
PROTOTYPE 2,10.37,10.37,
Raccoon City Edition,11.11,,
Ratchet & Clank: Rift Apart Digital Deluxe Edition,,,4.44
Ratchet & Clank,9.63,5.93,5.19
Rayman Legends,,11.11,5.93
Red Dead Redemption,9.63,7.41,5.93
Red Dead Redemption 2,9.63,7.41,4.44
Red Dead Redemption 2: Ultimate Edition,,7.41,5.93
RESIDENT EVIL 2,,8.89,5.19
RESIDENT EVIL 2 Deluxe Edition,11.11,9.26,5.93
RESIDENT EVIL 3,8.89,5.93,5.19
Resident Evil 4 Remake,,8.89,6.67
Resident Evil 4 (2005),8.89,5.93,5.19
RESIDENT EVIL 5,19.63,13.33,8.89
Resident Evil 6,9.26,5.19,3.7
RESIDENT EVIL 7 Biohazard,9.26,5.19,3.7
RESIDENT EVIL 7 Biohazard Gold Edition,9.26,5.19,3.7
Resident Evil 7 Gold Edition & Village Gold Edition,9.26,5.19,3.7
Resident Evil Remake Trilogy,,9.26,6.3
Resident Evil Revelations 1 & 2 Bundle,,10.37,10.37
Resident Evil Revelations 2 Deluxe Edition,,,
RESIDENT EVIL TRIPLE PACK,6.67,5.19,5.19
Resident Evil Village,5.56,5.56,5.56
Resident Evil Village Gold Edition,,6.67,5.56
RIDE 5,8.89,5.93,5.93
Riders Republic,,6.67,6.67
Rise of the Ronin Digital Deluxe Edition,,,5.93
RoboCop: Rogue City,,6.67,5.19
Rugby 22,,23.7,11.85
Sackboy: A Big Adventure,,,5.93
Sea of Thieves,,,4.44
SEGA Mega Drive Classics,9.26,9.26,5.93
Sekiro: Shadows Die Twice - Game of the Year Edition,,,5.93
Shadow of the Tomb Raider Definitive Edition,,5.93,4.44
Sifu,9.63,7.41,5.56
Silent Hill 2,,5.93,4.44
Slime Rancher,8.89,8.89,4.81
Slime Rancher 2,,29.63,10.37
Sniper Elite 4,9.26,7.41,5.19
Sniper Elite 4 Deluxe Edition,,11.11,
Sniper Elite 5,9.63,7.41,5.56
Sniper Ghost Warrior Contracts 1 & 2 Double Pack,,,6.67
Sniper Ghost Warrior Contracts and SGW3 Ultimate,13.33,8.89,5.93
SnowRunner,,8.89,
SnowRunner - 2-Year Anniversary Edition,6.67,6.67,5.56
Sonic Colours: Ultimate,,11.11,7.41
Sonic Colours: Ultimate - Digital Deluxe,,14.07,8.15
Sonic Forces Digital Standard Edition,,7.41,5.19
Sonic Frontiers,,9.26,
Sonic Mania,7.41,7.41,5.19
Sonic Origins,11.85,11.85,7.41
SONIC SUPERSTARS DELUXE,9.26,7.41,5.56
SONIC SUPERSTARS,11.11,9.26,6.67
SONIC X SHADOW GENERATIONS,13.33,13.33,6.67
SONIC X SHADOW GENERATIONS DELUXE,11.11,,6.67
SOUTH PARK: SNOW DAY!,14.81,14.81,7.41
South Park: The Video Game Collection,,19.26,10
South Park: The Fractured but Whole,,,7.41
South Park: The Stick of Truth,7.11,7.11,
Split Fiction,9.63,9.63,
STAR WARS Jedi: Fallen Order,7.41,5.56,
STAR WARS Jedi: Fallen Order Deluxe Edition,,23.7,7.41
STAR WARS Jedi: Survivor,8.89,5.93,5.19
Star Wars Outlaws Deluxe Edition,,7.41,6.67
STAR WARS Battlefront II,12.22,12.22,6.3
STAR WARS Battlefront II: Celebration Edition,,31.85,11.11
STAR WARS Battlefront Ultimate Edition,4.44,4.44,3.7
Stellar Blade,,5.93,4.44
Street Fighter V: Champion Edition,5.19,5.19,3.7
Street Fighter 6,,29.63,11.85
Suicide Squad: Kill the Justice League,,5.19,4.44
Taxi Life: A City Driving Simulator,,14.81,7.41
Team Sonic Racing,,7.41,4.44
"Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants",,,7.41
"Teenage Mutant Ninja Turtles: Shredder's Revenge",7.41,7.41,
TEKKEN 7,8.89,8.89,
TEKKEN 7 - Definitive Edition,8.89,8.89,
TEKKEN 7 - Originals Edition,9.63,8.89,5.93
TEKKEN 8,,6.67,5.56
Terraria,,10.37,6.3
The Callisto Protocol - Digital Deluxe Edition,,12.22,7.04
The Crew Motorfest,,26.67,9.26
The Crew Motorfest Deluxe Edition,9.26,7.41,5.19
The Elder Scrolls V: Skyrim Special Edition,12.59,12.59,8.89
The Evil Within,,10.74,7.04
The Evil Within 2,,,8.15
The Evil Within Digital Bundle,10,8.15,5.19
THE FOREST,7.41,5.93,5.19
THE KING OF FIGHTERS 2002,7.41,5.93,5.19
THE KING OF FIGHTERS XV,9.26,8.89,
The Last of Us Part II,9.63,6.67,5.19
The Last of Us Part I,5.93,5.93,
The Last of Us Part II Remastered,11.11,8.89,6.67
The Last of Us Remastered,16.67,13.33,8.89
The Outlast Trials,,29.63,10.74
The Quarry,,18.52,9.26
The Smurfs - Mission Vileaf,5.93,5.93,3.7
The Walking Dead: The Telltale Definitive Series,,8.89,
The Walking Dead: Destinies,8.89,8.89,5.93
The Witcher 3: Wild Hunt,,5,4.44
Titanfall 2 Standard Edition,,6.3,5.56
Tom Clancy's Ghost Recon Breakpoint,7.41,7.41,5.93
Tom Clancy's Ghost Recon Breakpoint Deluxe Edition,5.93,5.93,5.19
Tom Clancy's Rainbow Six Siege Deluxe Edition,7.41,5.56,
Tom Clancy's The Division 2,9.26,7.41,5.93
Tom Clancy's Ghost Recon Wildlands - Standard Edition,11.11,9.26,7.41
Tomb Raider I-III Remastered Starring Lara Croft,6.3,6.3,5.19
Tomb Raider: Definitive Edition,7.26,7.26,
Tomb Raider: Definitive Survivor Trilogy,5.93,4.44,3.7
Tony Hawk's Pro Skater 1 + 2,10.37,10.37,
TopSpin 2K25,,,5.93
Tropico 6,7.41,6.3,5.56
UFC 4,8.52,7.04,5.19
UFC 5,14.07,,7.41
UFC 5 Deluxe Edition,7.41,7.41,
UFC 5 Ultimate Edition,,8.89,5.19
Ultimate Marvel vs. Capcom 3,,31.85,8.89
UNCHARTED 4: A Thief's End & UNCHARTED: The Lost Legacy Digital Bundle,,,10.37
UNCHARTED The Nathan Drake Collection,,,13.33
Undisputed,6.67,6.67,5.19
Unravel Two,,6.67,5.19
Unravel Yarny Bundle,9.26,6.67,5.19
"Warhammer 40,000: Space Marine 2",,19.26,9.63
Watch Dogs 1 + Watch Dogs 2,,4.44,3.33
Watch Dogs 2 - Deluxe Edition,5.93,5.93,3.7
Watch Dogs: Legion,,31.85,10.37
Watch Dogs: Legion - Deluxe Edition,7.41,7.41,5.93
Watch Dogs 2,7.41,5.93,4.44
Wo Long: Fallen Dynasty,9.26,5.93,5.19
WRC 10 - Deluxe Edition,,7.41,5.93
WRC 10 FIA World Rally Championship,,5.19,5.19
WRC Generations - Fully Loaded Edition,11.11,6.67,
WRC Generations - The FIA WRC Official Game,,6.67,5.56
Wreckfest,,8.15,6.67
WWE 2K24,,11.11,7.41
WWE 2K24 Bray Wyatt Bundle,10.37,10.37,6.67
WWE 2K24 Deluxe Edition,,,5.56
WWE 2K25 Standard Edition,,11.11,7.41
Zombie Army Trilogy,,14.81,7.41
WWE 2K24 Deluxe Edition,,,10.37
WWE 2K25 Standard Edition,29.63,29.63,12.59
Zombie Army Trilogy,4.44,4.44,3.7
